LongStationName,StationNumber,SampleCode,CollectionDate,Analyte,Result,SampleType
Holland Cut at Holland Marina,B9D75841349,CF0222B0290,2022-02-16 09:50:00,Field Specific Conductance,334.8,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0222B0290,2022-02-16 09:50:00,Field Turbidity,4.47,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0222B0290,2022-02-16 09:50:00,Field Water Temperature,11.359,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0222B0290,2022-02-16 09:50:00,Field pH,7.62,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0322B0413,2022-03-23 08:57:00,Field Dissolved Oxygen,9.72,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0322B0413,2022-03-23 08:57:00,Field Specific Conductance,315.1,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0322B0413,2022-03-23 08:57:00,Field Turbidity,4.16,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0322B0413,2022-03-23 08:57:00,Field Water Temperature,15.826,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0322B0413,2022-03-23 08:57:00,Field pH,7.85,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0422B0513,2022-04-25 10:22:00,Field Dissolved Oxygen,8.72,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0422B0513,2022-04-25 10:22:00,Field Specific Conductance,310.6,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0422B0513,2022-04-25 10:22:00,Field Turbidity,3.21,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0422B0513,2022-04-25 10:22:00,Field Water Temperature,17.757,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0622B0693,2022-06-16 11:52:00,Field Dissolved Oxygen,6.85,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0622B0693,2022-06-16 11:52:00,Field Specific Conductance,458.1,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0622B0693,2022-06-16 11:52:00,Field Turbidity,2.62,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0622B0693,2022-06-16 11:52:00,Field Water Temperature,23.134,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0622B0693,2022-06-16 11:52:00,Field pH,7.48,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0722B0782,2022-07-13 10:01:00,Field Dissolved Oxygen,6.59,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0722B0782,2022-07-13 10:01:00,Field Specific Conductance,596,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0722B0782,2022-07-13 10:01:00,Field Turbidity,2.51,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0722B0782,2022-07-13 10:01:00,Field Water Temperature,24.368,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0722B0782,2022-07-13 10:01:00,Field pH,7.55,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0822B0887,2022-08-16 10:40:00,Field Dissolved Oxygen,6.86,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0822B0887,2022-08-16 10:40:00,Field Specific Conductance,437.7,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0822B0887,2022-08-16 10:40:00,Field Turbidity,3.3,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0822B0887,2022-08-16 10:40:00,Field Water Temperature,24.508,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0822B0887,2022-08-16 10:40:00,Field pH,7.53,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0922B0970,2022-09-20 10:17:00,Field Dissolved Oxygen,7.05,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0922B0970,2022-09-20 10:17:00,Field Specific Conductance,481.6,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0922B0970,2022-09-20 10:17:00,Field Turbidity,1.36,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0922B0970,2022-09-20 10:17:00,Field Water Temperature,22.025,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF0922B0970,2022-09-20 10:17:00,Field pH,7.45,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF1022B1119,2022-10-13 11:06:00,Field Dissolved Oxygen,8,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF1022B1119,2022-10-13 11:06:00,Field Specific Conductance,604,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF1022B1119,2022-10-13 11:06:00,Field Turbidity,19.69,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF1022B1119,2022-10-13 11:06:00,Field Water Temperature,20.89,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF1022B1119,2022-10-13 11:06:00,Field pH,7.59,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF1122B1235,2022-11-22 10:27:00,Field Dissolved Oxygen,9.87,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF1122B1235,2022-11-22 10:27:00,Field Specific Conductance,699,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF1122B1235,2022-11-22 10:27:00,Field Turbidity,1.43,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF1122B1235,2022-11-22 10:27:00,Field Water Temperature,11.401,Normal Sample
Holland Cut at Holland Marina,B9D75841349,CF1122B1235,2022-11-22 10:27:00,Field pH,7.58,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0122B0229,2022-01-26 10:47:00,Field Dissolved Oxygen,10.42,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0122B0229,2022-01-26 10:47:00,Field Specific Conductance,374.7,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0122B0229,2022-01-26 10:47:00,Field Turbidity,2.24,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0122B0229,2022-01-26 10:47:00,Field Water Temperature,9.971,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0122B0229,2022-01-26 10:47:00,Field pH,7.55,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0222B0288,2022-02-16 09:26:00,Field Dissolved Oxygen,10.68,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0222B0288,2022-02-16 09:26:00,Field Specific Conductance,352.9,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0222B0288,2022-02-16 09:26:00,Field Turbidity,1.7,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0222B0288,2022-02-16 09:26:00,Field Water Temperature,11.061,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0222B0288,2022-02-16 09:26:00,Field pH,7.73,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0322B0411,2022-03-23 08:33:00,Field Dissolved Oxygen,8.82,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0322B0411,2022-03-23 08:33:00,Field Specific Conductance,356.4,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0322B0411,2022-03-23 08:33:00,Field Turbidity,1.34,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0322B0411,2022-03-23 08:33:00,Field Water Temperature,16.287,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0322B0411,2022-03-23 08:33:00,Field pH,7.64,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0422B0511,2022-04-25 09:46:00,Field Dissolved Oxygen,9.21,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0422B0511,2022-04-25 09:46:00,Field Specific Conductance,330.9,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0422B0511,2022-04-25 09:46:00,Field Water Temperature,17.903,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0422B0511,2022-04-25 09:46:00,Field pH,7.99,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0622B0691,2022-06-16 11:27:00,Field Dissolved Oxygen,5.73,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0622B0691,2022-06-16 11:27:00,Field Specific Conductance,415.1,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0622B0691,2022-06-16 11:27:00,Field Turbidity,0.99,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0622B0691,2022-06-16 11:27:00,Field Water Temperature,23.471,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0622B0691,2022-06-16 11:27:00,Field pH,7.3,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0722B0780,2022-07-13 09:25:00,Field Dissolved Oxygen,5.85,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0722B0780,2022-07-13 09:25:00,Field Specific Conductance,628,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0722B0780,2022-07-13 09:25:00,Field Turbidity,1.04,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0722B0780,2022-07-13 09:25:00,Field Water Temperature,25.115,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0722B0780,2022-07-13 09:25:00,Field pH,7.36,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0822B0885,2022-08-16 10:14:00,Field Dissolved Oxygen,3.99,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0822B0885,2022-08-16 10:14:00,Field Specific Conductance,475.4,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0822B0885,2022-08-16 10:14:00,Field Turbidity,1.77,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0822B0885,2022-08-16 10:14:00,Field Water Temperature,25.408,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0822B0885,2022-08-16 10:14:00,Field pH,7.02,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0922B0968,2022-09-20 09:52:00,Field Dissolved Oxygen,6.21,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0922B0968,2022-09-20 09:52:00,Field Specific Conductance,494.3,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0922B0968,2022-09-20 09:52:00,Field Turbidity,1.58,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0922B0968,2022-09-20 09:52:00,Field Water Temperature,21.525,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF0922B0968,2022-09-20 09:52:00,Field pH,7.27,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF1022B1117,2022-10-13 10:35:00,Field Dissolved Oxygen,7.96,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF1022B1117,2022-10-13 10:35:00,Field Specific Conductance,601,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF1022B1117,2022-10-13 10:35:00,Field Turbidity,12.31,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF1022B1117,2022-10-13 10:35:00,Field Water Temperature,21.147,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF1022B1117,2022-10-13 10:35:00,Field pH,7.58,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF1122B1233,2022-11-22 11:32:00,Field Dissolved Oxygen,11.04,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF1122B1233,2022-11-22 11:32:00,Field Specific Conductance,674,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF1122B1233,2022-11-22 11:32:00,Field Turbidity,0.53,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF1122B1233,2022-11-22 11:32:00,Field Water Temperature,10.764,Normal Sample
Rock Slough at Delta Road Bridge,B9D75861372,CF1122B1233,2022-11-22 11:32:00,Field pH,7.86,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0522B0613,2022-05-12 12:39:00,Field Dissolved Oxygen,10.02,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0522B0613,2022-05-12 12:39:00,Field Specific Conductance,297.6,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0522B0613,2022-05-12 12:39:00,Field Turbidity,4.22,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0522B0613,2022-05-12 12:39:00,Field Water Temperature,16.92,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0522B0613,2022-05-12 12:39:00,Field pH,8.2,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0622B0660,2022-06-07 11:30:00,Field Dissolved Oxygen,9.83,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0622B0660,2022-06-07 11:30:00,Field Specific Conductance,472.4,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0622B0660,2022-06-07 11:30:00,Field Turbidity,2.65,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0622B0660,2022-06-07 11:30:00,Field Water Temperature,21.39,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0622B0660,2022-06-07 11:30:00,Field pH,8.61,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0722B0770,2022-07-13 11:14:00,Field Dissolved Oxygen,9.27,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0722B0770,2022-07-13 11:14:00,Field Specific Conductance,698,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0722B0770,2022-07-13 11:14:00,Field Turbidity,1.07,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0722B0770,2022-07-13 11:14:00,Field Water Temperature,22.84,Normal Sample
Frank's Tract Mid Track - D19A,B9D80281359,CF0722B0770,2022-07-13 11:14:00,Field pH,9.35,Normal Sample
